table_name,start_date_name,end_date_name,concept_id_name,source_concept_id_name
visit_occurrence,visit_start_date,visit_end_date,visit_concept_id,visit_source_concept_id
condition_occurrence,condition_start_date,condition_end_date,condition_concept_id,condition_source_concept_id
drug_exposure,drug_exposure_start_date,drug_exposure_end_date,drug_concept_id,drug_source_concept_id
procedure_occurrence,procedure_date,procedure_date,procedure_concept_id,procedure_source_concept_id
device_exposure,device_exposure_start_date,device_exposure_end_date,device_concept_id,"device_source_ concept_id	"
measurement,measurement_date,measurement_date,measurement_concept_id,measurement_source_concept_id
observation,observation_date,observation_date,observation_concept_id,observation_source_concept_id
drug_era,drug_era_start_date,drug_era_end_date,drug_concept_id,
condition_era,condition_era_start_date,condition_era_end_date,condition_concept_id,
specimen,specimen_date,specimen_date,specimen_concept_id,specimen_source_id
episode,episode_start_date,episode_end_date,episode_concept_id,episode_source_concept_id
